stimulus_id,pc_C,pc_C#,pc_D,pc_D#,pc_E,pc_F,pc_F#,pc_G,pc_G#,pc_A,pc_A#,pc_B,target_category,target_label,pitch_classes
39,0,0,0,1,0,0,0,0,1,0,0,0,4,ic5,D#+G#
40,0,0,0,1,0,0,0,0,0,1,0,0,5,ic6,D#+A
41,0,0,0,1,0,0,0,0,0,0,1,0,4,ic5,D#+A#
42,0,0,0,1,0,0,0,0,0,0,0,1,3,ic4,D#+B
43,0,0,0,0,1,0,0,0,0,0,0,0,6,unison,E
44,0,0,0,0,1,1,0,0,0,0,0,0,0,ic1,E+F
45,0,0,0,0,1,0,1,0,0,0,0,0,1,ic2,E+F#
46,0,0,0,0,1,0,0,1,0,0,0,0,2,ic3,E+G
47,0,0,0,0,1,0,0,0,1,0,0,0,3,ic4,E+G#
48,0,0,0,0,1,0,0,0,0,1,0,0,4,ic5,E+A
49,0,0,0,0,1,0,0,0,0,0,1,0,5,ic6,E+A#
50,0,0,0,0,1,0,0,0,0,0,0,1,4,ic5,E+B
51,0,0,0,0,0,1,0,0,0,0,0,0,6,unison,F
52,0,0,0,0,0,1,1,0,0,0,0,0,0,ic1,F+F#
53,0,0,0,0,0,1,0,1,0,0,0,0,1,ic2,F+G
54,0,0,0,0,0,1,0,0,1,0,0,0,2,ic3,F+G#
55,0,0,0,0,0,1,0,0,0,1,0,0,3,ic4,F+A
56,0,0,0,0,0,1,0,0,0,0,1,0,4,ic5,F+A#
57,0,0,0,0,0,1,0,0,0,0,0,1,5,ic6,F+B
58,0,0,0,0,0,0,1,0,0,0,0,0,6,unison,F#
59,0,0,0,0,0,0,1,1,0,0,0,0,0,ic1,F#+G
60,0,0,0,0,0,0,1,0,1,0,0,0,1,ic2,F#+G#
61,0,0,0,0,0,0,1,0,0,1,0,0,2,ic3,F#+A
62,0,0,0,0,0,0,1,0,0,0,1,0,3,ic4,F#+A#
63,0,0,0,0,0,0,1,0,0,0,0,1,4,ic5,F#+B
64,0,0,0,0,0,0,0,1,0,0,0,0,6,unison,G
65,0,0,0,0,0,0,0,1,1,0,0,0,0,ic1,G+G#
66,0,0,0,0,0,0,0,1,0,1,0,0,1,ic2,G+A
67,0,0,0,0,0,0,0,1,0,0,1,0,2,ic3,G+A#
68,0,0,0,0,0,0,0,1,0,0,0,1,3,ic4,G+B
69,0,0,0,0,0,0,0,0,1,0,0,0,6,unison,G#
70,0,0,0,0,0,0,0,0,1,1,0,0,0,ic1,G#+A
71,0,0,0,0,0,0,0,0,1,0,1,0,1,ic2,G#+A#
72,0,0,0,0,0,0,0,0,1,0,0,1,2,ic3,G#+B
73,0,0,0,0,0,0,0,0,0,1,0,0,6,unison,A
74,0,0,0,0,0,0,0,0,0,1,1,0,0,ic1,A+A#
75,0,0,0,0,0,0,0,0,0,1,0,1,1,ic2,A+B
76,0,0,0,0,0,0,0,0,0,0,1,0,6,unison,A#
77,0,0,0,0,0,0,0,0,0,0,1,1,0,ic1,A#+B
78,0,0,0,0,0,0,0,0,0,0,0,1,6,unison,B
